bone_name,center_x,center_y,center_z
Lumbar,-0.0071243406273424625,0.0501098558306694,1.1410672664642334
Thoracic,-0.0031975945457816124,0.051075808703899384,1.4077084064483643
Cervical,0.0012568854726850986,0.02791094034910202,1.6393864154815674
Brain,0.002381735946983099,-0.04735761135816574,1.826241374015808
eye.L,0.037820421159267426,-0.1255132406949997,1.8237028121948242
eye.R,-0.031705524772405624,-0.1323133111000061,1.82291579246521
Thyroid.R,-0.019179314374923706,-0.04947714880108833,1.6390712261199951
Thyroid.L,0.02321077138185501,-0.05569387227296829,1.638293743133545
shoulder.L,0.09948264062404633,-0.021675994619727135,1.6061336994171143
upper_arm.L,0.22767873108386993,-0.04464482516050339,1.4426069259643555
forearm.L,0.24090005457401276,-0.23260967433452606,1.223010778427124
hand.L,0.23710083961486816,-0.388833224773407,1.1208782196044922
shoulder.R,-0.09475447982549667,-0.017317116260528564,1.6059256792068481
upper_arm.R,-0.222177654504776,-0.040460631251335144,1.4296618700027466
forearm.R,-0.24478408694267273,-0.21022441983222961,1.213690996170044
hand.R,-0.23713818192481995,-0.37620964646339417,1.119861364364624
breast.L,0.10476581007242203,-0.05876509100198746,1.4555773735046387
breast.R,-0.10330510139465332,-0.058509014546871185,1.4498672485351562
pelvis.L,0.05560000240802765,0.005049999803304672,1.0815999507904053
pelvis.R,-0.05559999495744705,0.005049999803304672,1.0815999507904053
thigh.L,0.08708242326974869,0.002084711566567421,0.7856146097183228
shin.L,0.059960972517728806,0.026039427146315575,0.294395387172699
foot.L,0.07972455024719238,-0.011182822287082672,0.041566308587789536
toe.L,0.10904419422149658,-0.10927566885948181,0.029374953359365463
thigh.R,-0.10737781226634979,0.008178884163498878,0.7773787975311279
shin.R,-0.07956932485103607,0.028578948229551315,0.2824934720993042
foot.R,-0.0854262039065361,-0.016357094049453735,0.03568222373723984
toe.R,-0.10548487305641174,-0.11904951930046082,0.027388397604227066
